Review,sentiment
Virat Kohli did a great thing to open his restaurant in an exquisite place of Delhi. Wide range of food with lots and lots of options on drinks. Courteous staff with a quick response on anything.,positive
"This place have some really heathy options to have as the food here is healthy and tasty. Shakes were not too sweet, but tasted natural. Who are diet concious this place is for them. We have Pizza, which were with veggies and cheese super tasty. The Taccos were well presented and so tasty it had chaap fillings. The Tossed Panner was so healthy and seriously this health was worth the taste.",positive
Aerocity is the most finest place in Delhi for luxury dining as the place is too clean and it's a place with good view. I went to this restaurant Yesterday and it was all over a great Experience over there. We had Veg Pizza Mocktails Shakes Andhra paneer Mock meat platter Chocolate brownie Cheese cake The taste was very delicious and good the food presentation was also appreciable and the staff also very cooperative and helpful. And the outdoor sitting space is too good as it gives an amazing view.,positive
"Yesterday evening there was small team lunch , so we all decided to visit ONE8 COMMUNE. , Located in Aerocity , it is beautiful place to hangout with family and friends , it is multicuisine restaurant, offers variety of food and drinks , they have pretty huge menu , we decided to order Mocktails/ shakes Belgian oreo shake Black Forest shake Summer surprise Cool cucumber Mango cinn & tea Starters Chicken tacos Hummus & chips Tempura prawn roll Fiery chicken Non veg dimsum Veg dimsum Dessert Oven baked cheese cake Fudge brownie Chocolate fondant All items was warm and fresh Drinks items was also good All items was made with right amount of Ingredients Pizza and Belgian Oreo shake was best of all pizza was overloaded with cheese. Shake was thick and rich with chocolate and Oreo. Totally loved it.",positive
"I find aerocity to be the best place in delhi for Luxury dinning , so i recently tried this outlet who h people say is owned by virat kohli. Its a two floor outlet, with luxurious and beautiful interiors. They have huge seating space . They also have balcony side seating which i kinda liked the most We had many things here like Lovey mets dovey a sweet mocktail Passionate me yet another great mocktail Oreo shake which was sugar free i mean there was no added sugar Mock meat taco Dimsums Pizza Mezze platter Garden veg pizza Five rivers mud cake I would really recommend you this place if you are looking for a healthy yet delicious food in aerocity.",positive
"Aerocity has my heart. I love everything about that place, Hence i keep looking out for good restaurants so that I can spend as much time as possible there. Came across One8 Commune and was left spellbound. The menu is really interesting and will make you want to try each and every dish listed on it! This was my first time so I tried: AL the dishes were upto the mark. The cocktails were an interesting blend of exotic flavors. The ambience is every sports lover's dream. The outdoor seating is as chic as the indoor seating. As my very first experience was beyond amazing, I'm surely going to come back.",positive
"I visited this restaurant yesterday I am in love with everything From decor to food I just love every bit of this restaurant😋 • I tried alot things: Chicken dimsums Veg and non veg pizza Veg non veg tacos Beetroot dimsums Blue berry shake Mango shake Alot of mocktails Cheese cake Chocolate mud cake Brownie • Food was so so nice I loved everything there😋 My favourite one was chicken dimsums , chicken tikka pizza , and both the desserts 🤩 • Pizza and desserts are most recommended 🎈 • They offer both the sittings , inside as well as outside, They have a theme in the restaurant that is all about cricket , and I just loved the interior of the restaurant . • One should try this place for sure ❤️ • Follow us on Instagram @foodzaara",positive
New fine dining restaurant for delhities to relax and chill. Very beautiful place and ambience was also good. I like their chicken dumplings also. I also really love their chicken pizza and Andhra style chilly chicken. You must try their desserts specially Cheesecake and Mud Cake. Brownie lovers can enjoy a good brownie dessert here too.,positive
This is going to b one of the best restraunts in aero city opened by virat Kohli .Good ambeince ...cricket fans will love its interiors good music ...the outdoor feel at night would just blow Ur mind ...coming to food .we had 2 drinks in mock tail ....lovey Dovie Nd cucumber Nd lemon .food was really good .the best was coal chicken Nd mutton keema with pav was the best u have to try them they will open your taste buds .....thumbs up for chefs ...blueberry cheesecake was yum too .can surely visit this place again Nd again ....worth it man ....customer service was I loved too ....it is a place will stay long,positive
So this was the most awaited place - Virat and Anushka's restaurant i.e. One 8. It is a spacious restaurant with good food and happy vibes. There's a tshirt of Virat Kohli also in which he officially signed it. Coming to food we ordered veg and non veg dimsums. Chicken dimsums were super yummy. Veg were okayish in taste. The shakes were very tasty. Burger chicken sliders were also good. Punjabi chole are worth trying. And lastly the dessert was just amazing!😍,positive
Virat Kohli did a great thing to open his restaurant in an exquisite place of Delhi. Wide range of food with lots and lots of options on drinks. Courteous staff with a quick response on anything.,positive
"This place have some really heathy options to have as the food here is healthy and tasty. Shakes were not too sweet, but tasted natural. Who are diet concious this place is for them. We have Pizza, which were with veggies and cheese super tasty. The Taccos were well presented and so tasty it had chaap fillings. The Tossed Panner was so healthy and seriously this health was worth the taste.",positive
Aerocity is the most finest place in Delhi for luxury dining as the place is too clean and it's a place with good view. I went to this restaurant Yesterday and it was all over a great Experience over there. We had Veg Pizza Mocktails Shakes Andhra paneer Mock meat platter Chocolate brownie Cheese cake The taste was very delicious and good the food presentation was also appreciable and the staff also very cooperative and helpful. And the outdoor sitting space is too good as it gives an amazing view.,positive
"Yesterday evening there was small team lunch , so we all decided to visit ONE8 COMMUNE. , Located in Aerocity , it is beautiful place to hangout with family and friends , it is multicuisine restaurant, offers variety of food and drinks , they have pretty huge menu , we decided to order Mocktails/ shakes Belgian oreo shake Black Forest shake Summer surprise Cool cucumber Mango cinn & tea Starters Chicken tacos Hummus & chips Tempura prawn roll Fiery chicken Non veg dimsum Veg dimsum Dessert Oven baked cheese cake Fudge brownie Chocolate fondant All items was warm and fresh Drinks items was also good All items was made with right amount of Ingredients Pizza and Belgian Oreo shake was best of all pizza was overloaded with cheese. Shake was thick and rich with chocolate and Oreo. Totally loved it.",positive
"I find aerocity to be the best place in delhi for Luxury dinning , so i recently tried this outlet who h people say is owned by virat kohli. Its a two floor outlet, with luxurious and beautiful interiors. They have huge seating space . They also have balcony side seating which i kinda liked the most We had many things here like Lovey mets dovey a sweet mocktail Passionate me yet another great mocktail Oreo shake which was sugar free i mean there was no added sugar Mock meat taco Dimsums Pizza Mezze platter Garden veg pizza Five rivers mud cake I would really recommend you this place if you are looking for a healthy yet delicious food in aerocity.",positive
"Aerocity has my heart. I love everything about that place, Hence i keep looking out for good restaurants so that I can spend as much time as possible there. Came across One8 Commune and was left spellbound. The menu is really interesting and will make you want to try each and every dish listed on it! This was my first time so I tried: AL the dishes were upto the mark. The cocktails were an interesting blend of exotic flavors. The ambience is every sports lover's dream. The outdoor seating is as chic as the indoor seating. As my very first experience was beyond amazing, I'm surely going to come back.",positive
"I visited this restaurant yesterday I am in love with everything From decor to food I just love every bit of this restaurant😋 • I tried alot things: Chicken dimsums Veg and non veg pizza Veg non veg tacos Beetroot dimsums Blue berry shake Mango shake Alot of mocktails Cheese cake Chocolate mud cake Brownie • Food was so so nice I loved everything there😋 My favourite one was chicken dimsums , chicken tikka pizza , and both the desserts 🤩 • Pizza and desserts are most recommended 🎈 • They offer both the sittings , inside as well as outside, They have a theme in the restaurant that is all about cricket , and I just loved the interior of the restaurant . • One should try this place for sure ❤️ • Follow us on Instagram @foodzaara",positive
